Name,Bugs,Vulnerabilities,Code Smells,Duplication,#LOC,,Vulnerability 1,Vulnerability 2,Vulnerability 3
com.shield.CombatCovidPBC___1.0.5.apk,,,,,,missed,,,
com.siciliasicura.app___7.5.apk,465,0,9615,1.9,136606,,,,
co.uk.activa___2.4.0.apk,1571,2,15848,5,253611,,Use secure mode and padding scheme (1),Change this code to use a stronger protocol (1),
de.bssd.covid19___4120.7.01.apk,,,,,,missed,,,
de.credoweb.android___2.4.6.apk,1787,3,50055,8.7,661120,,Use secure mode and padding scheme (2),Change this code to use a stronger protocol (1),
de.credoweb.android___2.4.7.apk,,,,,,,,,
de.doctronic.mobilexaver.daz___2.3.apk,380,0,9097,3.5,118569,,,,
de.healthlab.erkaeltung___1.4.4.apk,355,0,8948,1.7,113371,,,,
de.hector.clubapp.gym4all___2.8.3.apk,912,2,24892,2,261813,,Use secure mode and padding scheme (1),Change this code to use a stronger protocol (1),
de.hexal.pollenflug___2.7.apk,805,1,16725,3.2,236130,,Change this code to use a stronger protocol (1),,
de.hexal.pollenflug___2.8.apk,885,0,18260,3.7,257808,,,,
de.kreativzirkel.coronika___1.6.0.apk,880,2,16069,2.9,231368,,Change this code to use a stronger protocol (2),,
de.mediafoundation.brbnorden___2.0.0.apk,668,2,16001,2.9,134272,,Change this code to use a stronger protocol (2),,
de.mediafoundation.brbnorden___2.0.1.apk,668,2,16001,2.9,134272,,Change this code to use a stronger protocol (2),,
de.neurosys.patientconceptapp___4.19.4.apk,,,,,,,,,
de.neurosys.patientconceptapp___4.19.5.apk,1028,4,25929,4.4,320867,,Change this code to use a stronger protocol (3),Enable server hostname verification on this SSL/TLS connection,
de.rki.coronadatenspende___2.1.0.apk,531,0,14649,4,111441,,,,
de.rki.coronawarnapp___1.5.0.apk,66,0,740,5.1,10847,,,,
de.xikolo.openwho___3.6.apk,,,,,,missed,,,
dk.kalorieopslag.symdir___2.0.7.apk,268,0,5100,3.1,55000,,,,
es.bioderma.biodermagame___2.0.8.apk,532,0,11633,9.4,101557,,,,
es.bsc.earthscience.caliope___Varía según el dispositivo..apk,,,,,,missed,,,
es.bsc.earthscience.caliope___Varía según el dispositivo..apk,,,,,,,,,
es.gob.asistenciacovid19___1.3.1.apk,239,0,7627,5.9,28898,,,,
es.gva.coronavirus___1.2.0.apk,3,0,229,0,2862,,,,
es.gva.responde___1.0.10.apk,343,0,9158,2.7,107804,,,,
es.infomed.agendamobile___1.0.0.apk,59,0,1440,0.7,23532,,,,
es.jcajrc.ibolsatrabajosas20___2.1.99.apk,240,0,8178,1.7,91252,,,,
es.navarra.coronatestnavarra___2.5.apk,176,3,4682,1.4,51582,,Enable server certificate validation on this SSL/TLS connection (2),Use secure mode and padding scheme (1),
es.youaremarketing.alertaETS___6.1.apk,185,0,7669,1.8,82505,,,,
fr.ap_hm.myaphm___1.2.0.0.apk,128,0,3150,1.5,42351,,,,
fr.aphp.covidom___1.5.21.apk,379,8,12186,2,89326,,Lower the visibility of this field (8),,
fr.gouv.android.stopcovid___2.0.1.apk,52,0,743,4.5,10439,,,,
fr.infostrates.dailypso___2.0.3.apk,272,0,8138,1.4,96435,,,,
fr.leadersante.main___1.41.0.apk,,,,,,missed,,,
